state,LOS
AL,5.82
AK,6.70
AZ,5.06
AR,5.23
CA,4.69
CO,4.75
CT,5.38
DE,6.72
DC,6.63
FL,5.30
GA,5.86
HI,6.31
ID,4.24
IL,5.21
IN,5.46
IA,5.39
KS,5.05
KY,5.63
LA,5.55
ME,5.77
MD,5.85
MA,5.31
MI,5.23
MN,4.57
MS,5.82
MO,5.26
MT,4.91
ND,5.39
NE,5.42
NV,5.48
NH,6.13
NJ,4.97
NM,5.94
NY,5.37
NC,5.22
OH,5.36
OK,5.32
OR,4.88
PA,5.40
RI,5.06
SC,5.85
SD,5.07
TN,5.50
TX,5.51
UT,3.83
VT,5.31
VA,5.66
WA,5.57
WV,5.84
WI,5.10
WY,4.74
