state,Total_Premium_Number_of_Beneficiaries,Total_Premium_Amount,Standard_Base_Premium_Number_of_Beneficiaries,Standard_Base_Premium_Amount,Reduced_Base_Premium_Number_of_Beneficiaries,Reduced_Base_Premium_Amount,Rndrng_Prvdr_State_Abrvtn,Mean_Discharge,Mean_Covered,Mean_Total_Payment,Mean_Medicare_Payment,Medicare_Coverage
NH,238,1200758,188,1032790,50,149940,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
NJ,18821,102073878,17246,94785848,1575,4761540,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
NM,590,3010253,482,2646782,108,326592,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
NV,6848,35766563,6069,33352934,780,2357208,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
OH,14924,77138312,12342,67829800,2583,7810236,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
OK,2604,13293681,2183,11998226,421,1274112,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
OR,8361,43467279,7338,40331480,1023,3092544,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
PA,27711,144610451,24554,134948784,3157,9545760,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
RI,1432,7402616,1239,6810460,193,583128,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
SC,2102,10833081,1793,9851580,309,934668,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
SD,1526,8081001,1401,7700354,125,377748,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
TN,8002,40909467,6743,37058154,1259,3806460,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
TX,57781,297959356,49706,273181428,8076,24420564,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
UT,235,1174401,182,1001646,53,160020,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
VA,6382,34148479,5822,32000002,560,1693188,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
VT,857,4347276,709,3896664,148,448056,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
WA,25715,135711388,23390,128549608,2325,7031808,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
WI,7115,36780395,6165,33881466,950,2872548,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
WV,4671,24037269,4007,22020182,664,2007936,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
WY,189,950935,154,843636,35,106596,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
AL,2491,12871090,2104,11564500,387,1171044,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
AK,663,3367444,549,3016388,114,344736,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
AR,2373,12149056,2009,11042380,364,1099980,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
AZ,4108,21492618,3556,19544692,552,1668240,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
CA,187725,1007115990,174128,957008862,13597,41117580,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
CO,1034,5127638,784,4307032,250,756756,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
CT,2719,14153816,2367,13009490,352,1063692,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
DC,2056,10285159,1637,8996952,419,1267056,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
DE,745,3870883,651,3575606,95,286776,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
FL,105020,554796546,95729,526124294,9291,28097244,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
GA,2516,12926156,2112,11605720,405,1223208,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
HI,3692,19060239,3184,17497432,508,1535940,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
IA,3084,15842890,2630,14452648,455,1374912,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
ID,566,2899939,477,2619760,89,269388,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
IL,5274,27170180,4455,24486512,819,2476404,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
IN,1830,9357238,1536,8442314,294,888804,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
KS,751,3934384,661,3631940,91,273672,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
KY,1138,5899966,986,5417682,152,460404,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
LA,9771,49690226,8135,44711334,1636,4947012,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
MA,33900,179392165,30984,170289438,2916,8817732,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
MD,17133,90513865,15609,85785232,1525,4610088,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
ME,304,1483355,222,1222402,82,246456,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
MI,27286,142034128,24053,132195746,3233,9777348,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
MN,10537,55954626,9730,53475622,807,2440620,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
MO,1728,9052735,1517,8339722,211,637812,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
MS,5735,29309290,4837,26585984,898,2715552,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
MT,830,4201428,683,3753310,147,443268,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
NY,129583,680181850,116532,640457582,13051,39466728,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
NC,7824,40746415,6884,37832632,940,2843316,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
ND,97,479518,75,409910,22,66528,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
NE,137,694639,111,608224,26,79380,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
NH,238,1200758,188,1032790,50,149940,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
NJ,18821,102073878,17246,94785848,1575,4761540,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
NM,590,3010253,482,2646782,108,326592,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
NV,6848,35766563,6069,33352934,780,2357208,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
OH,14924,77138312,12342,67829800,2583,7810236,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
OK,2604,13293681,2183,11998226,421,1274112,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
OR,8361,43467279,7338,40331480,1023,3092544,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
PA,27711,144610451,24554,134948784,3157,9545760,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
RI,1432,7402616,1239,6810460,193,583128,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
SC,2102,10833081,1793,9851580,309,934668,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
SD,1526,8081001,1401,7700354,125,377748,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
TN,8002,40909467,6743,37058154,1259,3806460,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
TX,57781,297959356,49706,273181428,8076,24420564,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
UT,235,1174401,182,1001646,53,160020,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
VA,6382,34148479,5822,32000002,560,1693188,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
