state,LOS
AL,6.13
AK,5.41
AZ,4.87
AR,5.14
CA,4.47
CO,4.36
CT,5.26
DE,5.81
DC,6.79
FL,5.12
GA,5.50
HI,6.22
ID,4.16
IL,5.06
IN,5.27
IA,5.08
KS,4.85
KY,5.64
LA,5.42
ME,5.18
MD,5.94
MA,5.08
MI,5.01
MN,4.37
MS,5.66
MO,5.04
MT,4.59
ND,5.05
NE,5.48
NV,5.04
NH,5.94
NJ,4.78
NM,6.09
NY,5.19
NC,5.47
OH,5.24
OK,5.22
OR,4.45
PA,5.30
RI,4.90
SC,5.48
SD,5.60
TN,5.38
TX,5.61
UT,4.07
VT,5.00
VA,5.53
WA,4.90
WV,5.80
WI,4.65
WY,4.44
