state,BENE_AVG_RISK_SCRE,ACUTE_HOSP_READMSN_PCT,PW_GPCI,PE_GPCI,MP_GPCI,GDP,Mean_Discharge,Mean_Covered,Mean_Total_Payment,Mean_Medicare_Payment,Medicare_Coverage,LOS,Year2020,Total_Premium_Number_of_Beneficiaries,Total_Premium_Amount,Standard_Base_Premium_Number_of_Beneficiaries,Standard_Base_Premium_Amount,Reduced_Base_Premium_Number_of_Beneficiaries,Reduced_Base_Premium_Amount,Health_Status
ND,0.9,0.1634,1,1,0.4850000000000003,54422.9,34.509565217391305,45086.673426086956,15480.656417391305,13173.536747826087,0.8509675812600976,5.41,778962,97,479518,75,409910,22,66528,0.53
NE,0.91,0.1583,1,0.909,0.277,134580.8,33.41988003427592,59629.68956298201,15853.928071979435,13493.101696658097,0.8510888680330326,5.47,1961455,137,694639,111,608224,26,79380,0.52
NH,0.86,0.1713,1,1.042,0.984,88337.7,31.469813391877057,55825.05277716795,15267.298572996708,13232.381218441273,0.8667139870995517,6.03,1377848,238,1200758,188,1032790,50,149940,0.56
NJ,1.04,0.1929,1.0374999999999963,1.161,0.9490000000000006,620085.9,36.38714199879832,102191.24874424194,16769.918103344684,14133.952303224514,0.8428158215278083,4.89,9279743,18821,102073878,17246,94785848,1575,4761540,0.5
NM,0.89,0.1608,1,0.908,1.2069999999999963,98790,31.867469879518072,64316.22593038822,16331.779732262383,13891.394926372155,0.8505744722316206,5.96,2117566,590,3010253,482,2646782,108,326592,0.45
NV,0.95,0.2004,1.004,1,1.13,172562.6,33.72976588628762,124300.07051505017,16346.228494983277,14068.419632107023,0.8606523294608709,5.5,3114071,6848,35766563,6069,33352934,780,2357208,0.46
NY,1.08,0.1884,1.0348,1.1318,1.7582,1740804.7,37.913730655251896,79777.31920535617,20639.09855010427,17632.858566567884,0.854342476429466,5.26,20154933,129583,680181850,116532,640457582,13051,39466728,0.52
OH,0.99,0.1868,1,0.915,1.049,684382.5,33.548776662484315,56940.053627666246,14564.165630489335,11702.131902446676,0.8034879717344646,5.31,11790587,14924,77138312,12342,67829800,2583,7810236,0.48
OK,1.03,0.1747,1,0.886,0.8680000000000015,190063.6,36.6841046277666,68566.4232193159,14220.884692152917,12075.959987927565,0.8491707969892393,5.26,3962031,2604,13293681,2183,11998226,421,1274112,0.44
OR,0.89,0.1476,1.008,1.008,0.659,247966.7,28.105194805194806,57770.03453896104,19002.067285714285,16207.908032467532,0.8529549858321259,4.71,4241544,8361,43467279,7338,40331480,1023,3092544,0.51
PA,1,0.1809,1.011,1.008,1.1245,771613.2,33.46406677970523,80652.28097691404,15732.523121168644,12614.740636494065,0.8018256537325855,5.41,12989625,27711,144610451,24554,134948784,3157,9545760,0.49
RI,0.97,0.1832,1.024,1.049,0.99,60770.6,31.847396768402156,41724.70457809695,14186.77987432675,12050.685619389587,0.8494306478383606,5.08,1096229,1432,7402616,1239,6810460,193,583128,0.51
