state,LOS
AL,5.89
AK,5.76
AZ,4.79
AR,5.07
CA,4.42
CO,4.36
CT,5.28
DE,6.25
DC,6.59
FL,5.26
GA,5.58
HI,6.34
ID,4.10
IL,5.04
IN,5.32
IA,4.96
KS,4.97
KY,5.57
LA,5.39
ME,5.11
MD,5.74
MA,5.15
MI,5.03
MN,4.35
MS,5.56
MO,5.07
MT,4.58
ND,5.12
NE,5.39
NV,5.09
NH,5.82
NJ,4.90
NM,5.97
NY,5.24
NC,5.28
OH,5.20
OK,5.13
OR,4.59
PA,5.34
RI,4.95
SC,5.53
SD,5.22
TN,5.37
TX,5.46
UT,3.82
VT,5.16
VA,5.53
WA,5.01
WV,5.77
WI,4.69
WY,4.21
